Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Norte  ; Rondônia  ; São Miguel do Guaporé  ;1100320; 5.003 ; 2.433 ; 619 ; 668 ; 75 ; 1.046 ; 17 ; 8 ; 2.570 ; 739 ; 674 ; 73 ; 1.063 ; 12 ; 9 ;;;;;;;;;;
 Norte  ; Rondônia  ; Seringueiras  ;1101500; 2.436 ; 1.206 ; 72 ; 264 ; 25 ; 831 ; 9 ; 5 ; 1.230 ; 90 ; 229 ; 25 ; 879 ; 2 ; 5 ;;;;;;;;;;
 Norte  ; Rondônia  ; Teixeirópolis  ;1101559; 916 ; 451 ; 24 ; 134 ; 17 ; 276 ; -   ; -   ; 465 ; 24 ; 132 ; 19 ; 290 ; -   ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Theobroma  ;1101609; 1.706 ; 865 ; 14 ; 270 ; 23 ; 553 ; 4 ; 1 ; 841 ; 11 ; 264 ; 23 ; 529 ; 14 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Urupá  ;1101708; 2.305 ; 1.118 ; 74 ; 288 ; 24 ; 729 ; 2 ; 1 ; 1.187 ; 74 ; 263 ; 32 ; 816 ; 1 ; 1 ;;;;;;;;;;
 Norte  ; Rondônia  ; Vale do Anari  ;1101757; 1.725 ; 793 ; 25 ; 221 ; 36 ; 494 ; 17 ; -   ; 932 ; 38 ; 232 ; 41 ; 598 ; 23 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Vale do Paraíso  ;1101807; 1.397 ; 669 ; 123 ; 155 ; 14 ; 347 ; 30 ; -   ; 728 ; 170 ; 148 ; 16 ; 355 ; 39 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Vilhena  ;1100304; 22.572 ; 11.192 ; 582 ; 3.970 ; 291 ; 6.278 ; 31 ; 40 ; 11.380 ; 574 ; 4.050 ; 325 ; 6.340 ; 33 ; 58 ;;;;;;;;;;
 Norte  ; Acre  ;    ; ; 253.918 ; 123.992 ; 37.531 ; 13.074 ; 1.523 ; 65.420 ; 514 ; 5.930 ; 129.926 ; 38.675 ; 12.793 ; 1.776 ; 69.893 ; 508 ; 6.281 ;;;;;;;;;;
 Norte  ; Acre  ; Acrelândia  ;1200013; 4.003 ; 1.987 ; 371 ; 324 ; 18 ; 1.266 ; 6 ; 2 ; 2.016 ; 405 ; 323 ; 33 ; 1.245 ; 4 ; 6 ;;;;;;;;;;
 Norte  ; Acre  ; Assis Brasil  ;1200054; 3.610 ; 1.691 ; 270 ; 114 ; 14 ; 908 ; -   ; 385 ; 1.919 ; 293 ; 112 ; 15 ; 1.081 ; 2 ; 416 ;;;;;;;;;;
 Norte  ; Acre  ; Brasiléia  ;1200104; 6.733 ; 3.325 ; 1.490 ; 294 ; 36 ; 1.474 ; 6 ; 25 ; 3.408 ; 1.503 ; 273 ; 52 ; 1.538 ; 6 ; 36 ;;;;;;;;;;
 Norte  ; Acre  ; Bujari  ;1200138; 3.961 ; 1.902 ; 561 ; 148 ; 12 ; 1.152 ; 26 ; 3 ; 2.059 ; 595 ; 133 ; 38 ; 1.277 ; 13 ; 3 ;;;;;;;;;;
 Norte  ; Acre  ; Capixaba  ;1200179; 3.257 ; 1.515 ; 1.037 ; 30 ; 4 ; 442 ; 2 ; -   ; 1.742 ; 1.190 ; 38 ; 6 ; 503 ; 4 ; 1 ;;;;;;;;;;
 Norte  ; Acre  ; Cruzeiro do Sul  ;1200203; 31.165 ; 15.291 ; 1.837 ; 1.953 ; 149 ; 11.053 ; 46 ; 253 ; 15.874 ; 1.822 ; 1.855 ; 174 ; 11.686 ; 66 ; 271 ;;;;;;;;;;
 Norte  ; Acre  ; Epitaciolândia  ;1200252; 4.657 ; 2.336 ; 806 ; 206 ; 8 ; 1.315 ; -   ; 1 ; 2.321 ; 761 ; 191 ; 17 ; 1.344 ; 4 ; 4 ;;;;;;;;;;
 Norte  ; Acre  ; Feijó  ;1200302; 12.319 ; 6.014 ; 1.495 ; 950 ; 70 ; 2.296 ; 15 ; 1.188 ; 6.305 ; 1.594 ; 866 ; 85 ; 2.500 ; 21 ; 1.239 ;;;;;;;;;;
 Norte  ; Acre  ; Jordão  ;1200328; 4.150 ; 2.028 ; 28 ; 114 ; 29 ; 1.023 ; 9 ; 825 ; 2.122 ; 35 ; 83 ; 23 ; 1.068 ; 3 ; 910 ;;;;;;;;;;
