Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Passa Quatro  ;3147600; 2.967 ; 1.466 ; 13 ; 1.224 ; 37 ; 188 ; 4 ; -   ; 1.501 ; 14 ; 1.255 ; 35 ; 194 ; 3 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Passa Tempo  ;3147709; 1.285 ; 638 ; 10 ; 386 ; 49 ; 193 ; -   ; -   ; 647 ; 6 ; 405 ; 50 ; 186 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Passa Vinte  ;3147808; 383 ; 181 ; 55 ; 71 ; 5 ; 48 ; 1 ; 1 ; 202 ; 61 ; 88 ; 10 ; 43 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Passabém  ;3147501; 361 ; 175 ; 4 ; 48 ; 7 ; 112 ; 3 ; 1 ; 186 ; 2 ; 54 ; 11 ; 117 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Passos  ;3147907; 24.036 ; 12.179 ; 1.335 ; 6.301 ; 690 ; 3.824 ; 25 ; 4 ; 11.857 ; 1.434 ; 6.139 ; 714 ; 3.539 ; 25 ; 6 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Patis  ;3147956; 1.107 ; 560 ; 5 ; 84 ; 2 ; 468 ; 1 ; -   ; 547 ; 5 ; 70 ; 3 ; 469 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Patos de Minas  ;3148004; 33.610 ; 17.377 ; 1.313 ; 8.467 ; 667 ; 6.875 ; 46 ; 9 ; 16.233 ; 1.304 ; 7.939 ; 589 ; 6.342 ; 49 ; 10 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Patrocínio  ;3148103; 21.327 ; 10.625 ; 657 ; 5.115 ; 520 ; 4.270 ; 56 ; 7 ; 10.702 ; 637 ; 5.179 ; 496 ; 4.338 ; 46 ; 6 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Patrocínio do Muriaé  ;3148202; 850 ; 420 ; 145 ; 113 ; 19 ; 143 ; -   ; -   ; 430 ; 140 ; 129 ; 15 ; 146 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Paula Cândido  ;3148301; 1.388 ; 684 ; 151 ; 219 ; 47 ; 266 ; 1 ; -   ; 704 ; 171 ; 193 ; 55 ; 284 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Paulistas  ;3148400; 946 ; 463 ; 48 ; 55 ; 23 ; 337 ; -   ; -   ; 483 ; 55 ; 57 ; 23 ; 348 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pavão  ;3148509; 1.360 ; 707 ; 120 ; 83 ; 20 ; 484 ; -   ; -   ; 653 ; 90 ; 69 ; 15 ; 479 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Peçanha  ;3148608; 2.783 ; 1.390 ; 373 ; 260 ; 47 ; 707 ; 2 ; 1 ; 1.393 ; 392 ; 248 ; 58 ; 694 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedra Azul  ;3148707; 5.446 ; 2.822 ; 674 ; 260 ; 62 ; 1.825 ; 1 ; -   ; 2.624 ; 640 ; 246 ; 59 ; 1.673 ; 3 ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedra Bonita  ;3148756; 1.585 ; 760 ; 212 ; 232 ; 12 ; 302 ; 1 ; 1 ; 825 ; 246 ; 255 ; 19 ; 303 ; 1 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedra do Anta  ;3148806; 534 ; 266 ; -   ; 91 ; 23 ; 152 ; -   ; -   ; 268 ; 6 ; 63 ; 33 ; 166 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedra do Indaiá  ;3148905; 650 ; 326 ; 90 ; 158 ; 8 ; 69 ; -   ; 1 ; 324 ; 85 ; 162 ; 5 ; 69 ; -   ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedra Dourada  ;3149002; 566 ; 282 ; 12 ; 122 ; 16 ; 132 ; -   ; -   ; 284 ; 10 ; 111 ; 17 ; 146 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedralva  ;3149101; 1.776 ; 879 ; 42 ; 626 ; 20 ; 190 ; 1 ; -   ; 897 ; 56 ; 611 ; 24 ; 206 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedras de Maria da Cruz  ;3149150; 2.150 ; 1.016 ; 150 ; 200 ; 86 ; 574 ; 6 ; -   ; 1.134 ; 180 ; 228 ; 87 ; 633 ; 6 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedrinópolis  ;3149200; 701 ; 320 ; 69 ; 152 ; 7 ; 92 ; -   ; -   ; 381 ; 66 ; 177 ; 10 ; 128 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedro Leopoldo  ;3149309; 12.624 ; 6.212 ; 1.262 ; 1.227 ; 307 ; 3.404 ; 10 ; 2 ; 6.412 ; 1.198 ; 1.180 ; 322 ; 3.698 ; 12 ; 2 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pedro Teixeira  ;3149408; 291 ; 149 ; 5 ; 88 ; 22 ; 34 ; -   ; -   ; 142 ; 1 ; 91 ; 9 ; 41 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pequeri  ;3149507; 688 ; 339 ; 35 ; 157 ; 56 ; 91 ; -   ; -   ; 349 ; 46 ; 143 ; 69 ; 91 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pequi  ;3149606; 803 ; 401 ; 37 ; 223 ; 13 ; 128 ; -   ; -   ; 402 ; 39 ; 199 ; 13 ; 148 ; 3 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Perdigão  ;3149705; 2.780 ; 1.330 ; 64 ; 581 ; 54 ; 626 ; 3 ; 2 ; 1.450 ; 59 ; 626 ; 59 ; 705 ; -   ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Perdizes  ;3149804; 3.848 ; 1.914 ; 40 ; 968 ; 61 ; 840 ; 4 ; 1 ; 1.934 ; 31 ; 995 ; 62 ; 845 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Perdões  ;3149903; 3.974 ; 2.021 ; 385 ; 817 ; 145 ; 666 ; 6 ; 2 ; 1.953 ; 436 ; 731 ; 150 ; 633 ; 3 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Periquito  ;3149952; 1.703 ; 843 ; 175 ; 74 ; 51 ; 536 ; 6 ; 1 ; 860 ; 180 ; 76 ; 62 ; 536 ; 5 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pescador  ;3150000; 668 ; 324 ; 10 ; 40 ; 11 ; 261 ; 1 ; 1 ; 344 ; 26 ; 44 ; 11 ; 263 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piau  ;3150109; 469 ; 228 ; 7 ; 117 ; 40 ; 64 ; -   ; -   ; 241 ; 14 ; 131 ; 31 ; 65 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piedade de Caratinga  ;3150158; 1.887 ; 919 ; 299 ; 234 ; 22 ; 359 ; 3 ; 2 ; 968 ; 335 ; 247 ; 21 ; 361 ; 3 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piedade de Ponte Nova  ;3150208; 847 ; 425 ; 8 ; 104 ; 41 ; 271 ; 1 ; -   ; 422 ; 22 ; 92 ; 40 ; 266 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piedade do Rio Grande  ;3150307; 729 ; 362 ; 7 ; 202 ; 26 ; 126 ; 1 ; -   ; 367 ; 5 ; 204 ; 33 ; 123 ; -   ; 2 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piedade dos Gerais  ;3150406; 791 ; 373 ; 17 ; 250 ; 9 ; 97 ; -   ; -   ; 418 ; 14 ; 268 ; 6 ; 130 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pimenta  ;3150505; 1.327 ; 661 ; 88 ; 345 ; 19 ; 209 ; -   ; -   ; 666 ; 78 ; 360 ; 30 ; 197 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pingo-d'Água  ;3150539; 1.058 ; 507 ; 3 ; 156 ; 39 ; 308 ; 1 ; -   ; 551 ; 9 ; 162 ; 33 ; 347 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pintópolis  ;3150570; 1.725 ; 880 ; 72 ; 122 ; 28 ; 653 ; 4 ; 1 ; 845 ; 70 ; 93 ; 38 ; 642 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piracema  ;3150604; 1.108 ; 560 ; 41 ; 243 ; 40 ; 230 ; 4 ; 2 ; 548 ; 38 ; 240 ; 37 ; 232 ; -   ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pirajuba  ;3150703; 1.416 ; 697 ; 17 ; 272 ; 33 ; 374 ; 1 ; -   ; 719 ; 12 ; 275 ; 25 ; 407 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piranga  ;3150802; 2.535 ; 1.210 ; 436 ; 195 ; 82 ; 497 ; -   ; -   ; 1.325 ; 469 ; 261 ; 91 ; 502 ; 1 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piranguçu  ;3150901; 1.057 ; 509 ; 17 ; 417 ; 9 ; 66 ; -   ; -   ; 548 ; 20 ; 446 ; 9 ; 73 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piranguinho  ;3151008; 1.728 ; 840 ; 53 ; 606 ; 12 ; 168 ; 1 ; -   ; 888 ; 58 ; 621 ; 18 ; 189 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pirapetinga  ;3151107; 2.143 ; 1.042 ; 248 ; 370 ; 117 ; 305 ; 2 ; -   ; 1.101 ; 262 ; 373 ; 152 ; 307 ; 6 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pirapora  ;3151206; 13.720 ; 6.784 ; 674 ; 1.018 ; 454 ; 4.603 ; 31 ; 4 ; 6.936 ; 758 ; 1.023 ; 483 ; 4.635 ; 33 ; 4 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piraúba  ;3151305; 2.115 ; 1.035 ; 99 ; 424 ; 117 ; 392 ; 3 ; -   ; 1.080 ; 111 ; 430 ; 112 ; 421 ; 4 ; 2 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pitangui  ;3151404; 5.229 ; 2.576 ; 1.006 ; 769 ; 79 ; 717 ; 4 ; 1 ; 2.653 ; 1.068 ; 751 ; 83 ; 744 ; 4 ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Piumhi  ;3151503; 7.023 ; 3.414 ; 555 ; 1.800 ; 154 ; 902 ; 3 ; -   ; 3.609 ; 638 ; 1.816 ; 177 ; 971 ; 5 ; 2 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Planura  ;3151602; 2.354 ; 1.146 ; 676 ; 246 ; 7 ; 214 ; 3 ; -   ; 1.208 ; 732 ; 231 ; 10 ; 233 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Poço Fundo  ;3151701; 2.504 ; 1.285 ; 149 ; 792 ; 64 ; 279 ; 1 ; -   ; 1.219 ; 150 ; 720 ; 54 ; 293 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Poços de Caldas  ;3151800; 33.305 ; 16.451 ; 1.370 ; 11.102 ; 816 ; 3.130 ; 26 ; 7 ; 16.854 ; 1.584 ; 11.148 ; 775 ; 3.317 ; 21 ; 9 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pocrane  ;3151909; 1.389 ; 676 ; 19 ; 328 ; 21 ; 307 ; 1 ; -   ; 713 ; 18 ; 313 ; 30 ; 351 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pompéu  ;3152006; 6.897 ; 3.498 ; 157 ; 956 ; 274 ; 2.074 ; 33 ; 4 ; 3.399 ; 155 ; 945 ; 274 ; 1.973 ; 41 ; 11 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ponte Nova  ;3152105; 13.351 ; 6.861 ; 590 ; 2.080 ; 824 ; 3.309 ; 48 ; 10 ; 6.490 ; 581 ; 2.095 ; 743 ; 3.028 ; 40 ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ponto Chique  ;3152131; 915 ; 445 ; 6 ; 72 ; 42 ; 325 ; -   ; -   ; 470 ; 8 ; 68 ; 54 ; 338 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ponto dos Volantes  ;3152170; 2.516 ; 1.206 ; 89 ; 102 ; 13 ; 1.002 ; -   ; -   ; 1.310 ; 113 ; 118 ; 8 ; 1.068 ; 3 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Porteirinha  ;3152204; 7.803 ; 3.895 ; 619 ; 832 ; 146 ; 2.295 ; 3 ; -   ; 3.908 ; 726 ; 886 ; 118 ; 2.167 ; 5 ; 6 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Porto Firme  ;3152303; 1.606 ; 791 ; 19 ; 267 ; 75 ; 429 ; 1 ; -   ; 815 ; 16 ; 292 ; 76 ; 431 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Poté  ;3152402; 2.664 ; 1.324 ; 22 ; 258 ; 66 ; 978 ; -   ; -   ; 1.340 ; 20 ; 255 ; 67 ; 995 ; 3 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pouso Alegre  ;3152501; 39.474 ; 19.648 ; 2.331 ; 12.542 ; 831 ; 3.891 ; 39 ; 14 ; 19.826 ; 2.658 ; 12.294 ; 805 ; 4.011 ; 51 ; 7 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pouso Alto  ;3152600; 1.010 ; 509 ; 35 ; 334 ; 13 ; 127 ; -   ; -   ; 501 ; 43 ; 303 ; 12 ; 143 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Prados  ;3152709; 1.491 ; 745 ; 115 ; 281 ; 30 ; 319 ; -   ; -   ; 746 ; 101 ; 297 ; 23 ; 325 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Prata  ;3152808; 5.953 ; 3.029 ; 374 ; 1.264 ; 159 ; 1.217 ; 11 ; 4 ; 2.924 ; 375 ; 1.161 ; 166 ; 1.218 ; 3 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pratápolis  ;3152907; 1.336 ; 627 ; 167 ; 309 ; 5 ; 146 ; -   ; -   ; 709 ; 197 ; 333 ; 13 ; 166 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Pratinha  ;3153004; 735 ; 349 ; 40 ; 143 ; 1 ; 83 ; 82 ; -   ; 386 ; 35 ; 170 ; 8 ; 91 ; 82 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Presidente Bernardes  ;3153103; 799 ; 413 ; 3 ; 164 ; 34 ; 210 ; 2 ; -   ; 386 ; 5 ; 149 ; 30 ; 202 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Presidente Juscelino  ;3153202; 628 ; 326 ; -   ; 48 ; 6 ; 272 ; -   ; -   ; 302 ; 9 ; 36 ; 6 ; 251 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Presidente Kubitschek  ;3153301; 876 ; 433 ; 38 ; 97 ; 24 ; 274 ; -   ; -   ; 443 ; 38 ; 85 ; 31 ; 289 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Presidente Olegário  ;3153400; 3.305 ; 1.564 ; 157 ; 685 ; 40 ; 675 ; -   ; 7 ; 1.741 ; 195 ; 791 ; 35 ; 706 ; 3 ; 11 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Prudente de Morais  ;3153608; 2.276 ; 1.088 ; 65 ; 215 ; 62 ; 740 ; 6 ; -   ; 1.188 ; 80 ; 279 ; 78 ; 747 ; 4 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Quartel Geral  ;3153707; 587 ; 287 ; 117 ; 108 ; 11 ; 51 ; -   ; -   ; 300 ; 102 ; 124 ; 15 ; 59 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Queluzito  ;3153806; 275 ; 139 ; 4 ; 67 ; 11 ; 56 ; 1 ; -   ; 136 ; 8 ; 66 ; 10 ; 52 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Raposos  ;3153905; 2.828 ; 1.399 ; 382 ; 284 ; 92 ; 636 ; 5 ; -   ; 1.429 ; 399 ; 249 ; 78 ; 694 ; 9 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Raul Soares  ;3154002; 4.396 ; 2.175 ; 82 ; 756 ; 120 ; 1.205 ; 12 ; -   ; 2.221 ; 79 ; 721 ; 121 ; 1.294 ; 6 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Recreio  ;3154101; 1.511 ; 734 ; 38 ; 264 ; 134 ; 291 ; 6 ; 1 ; 777 ; 34 ; 296 ; 125 ; 312 ; 7 ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Reduto  ;3154150; 1.656 ; 807 ; 126 ; 260 ; 45 ; 375 ; 1 ; -   ; 849 ; 117 ; 265 ; 54 ; 411 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Resende Costa  ;3154200; 1.916 ; 945 ; 489 ; 272 ; 35 ; 149 ; -   ; -   ; 971 ; 496 ; 287 ; 36 ; 151 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Resplendor  ;3154309; 3.068 ; 1.511 ; 143 ; 384 ; 54 ; 844 ; 1 ; 85 ; 1.557 ; 170 ; 371 ; 60 ; 882 ; 4 ; 70 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ressaquinha  ;3154408; 811 ; 377 ; 114 ; 144 ; 6 ; 113 ; -   ; -   ; 434 ; 128 ; 180 ; 14 ; 112 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Riachinho  ;3154457; 1.483 ; 720 ; 29 ; 176 ; 42 ; 461 ; 11 ; 1 ; 763 ; 33 ; 139 ; 53 ; 528 ; 9 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Riacho dos Machados  ;3154507; 1.712 ; 815 ; 78 ; 161 ; 8 ; 563 ; 5 ; -   ; 897 ; 80 ; 182 ; 9 ; 624 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ribeirão das Neves  ;3154606; 69.739 ; 34.434 ; 10.246 ; 5.093 ; 2.329 ; 16.591 ; 160 ; 15 ; 35.305 ; 10.597 ; 4.921 ; 2.346 ; 17.261 ; 163 ; 17 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ribeirão Vermelho  ;3154705; 739 ; 360 ; 17 ; 148 ; 27 ; 168 ; -   ; -   ; 379 ; 16 ; 163 ; 46 ; 154 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Acima  ;3154804; 1.921 ; 940 ; 135 ; 219 ; 67 ; 512 ; 5 ; 2 ; 981 ; 132 ; 220 ; 66 ; 556 ; 6 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Casca  ;3154903; 2.574 ; 1.335 ; 54 ; 322 ; 127 ; 822 ; 10 ; -   ; 1.239 ; 51 ; 303 ; 112 ; 767 ; 4 ; 2 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio do Prado  ;3155108; 972 ; 480 ; 14 ; 71 ; 5 ; 390 ; -   ; -   ; 492 ; 8 ; 75 ; 9 ; 400 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Doce  ;3155009; 490 ; 249 ; 53 ; 80 ; 15 ; 99 ; 2 ; -   ; 241 ; 43 ; 66 ; 11 ; 120 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Espera  ;3155207; 672 ; 330 ; 9 ; 172 ; 20 ; 127 ; 2 ; -   ; 342 ; 12 ; 182 ; 11 ; 136 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Manso  ;3155306; 830 ; 413 ; 64 ; 198 ; 28 ; 119 ; 4 ; -   ; 417 ; 74 ; 201 ; 23 ; 117 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Novo  ;3155405; 1.341 ; 671 ; 52 ; 315 ; 94 ; 208 ; 1 ; 1 ; 670 ; 50 ; 299 ; 90 ; 230 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Paranaíba  ;3155504; 2.833 ; 1.401 ; 122 ; 650 ; 38 ; 591 ; -   ; -   ; 1.432 ; 118 ; 642 ; 54 ; 617 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Pardo de Minas  ;3155603; 5.514 ; 2.818 ; 539 ; 704 ; 12 ; 1.561 ; 2 ; -   ; 2.696 ; 521 ; 665 ; 13 ; 1.494 ; 2 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Piracicaba  ;3155702; 2.741 ; 1.377 ; 147 ; 372 ; 154 ; 695 ; 9 ; -   ; 1.364 ; 139 ; 342 ; 176 ; 693 ; 13 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Pomba  ;3155801; 3.669 ; 1.891 ; 102 ; 940 ; 175 ; 672 ; 1 ; 1 ; 1.778 ; 100 ; 910 ; 162 ; 601 ; 5 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Preto  ;3155900; 668 ; 314 ; 25 ; 142 ; 32 ; 115 ; -   ; -   ; 354 ; 26 ; 171 ; 30 ; 126 ; -   ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rio Vermelho  ;3156007; 2.412 ; 1.183 ; 106 ; 114 ; 35 ; 921 ; 7 ; -   ; 1.229 ; 104 ; 100 ; 37 ; 981 ; 7 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Ritápolis  ;3156106; 762 ; 374 ; 66 ; 177 ; 7 ; 123 ; 1 ; -   ; 388 ; 62 ; 188 ; 5 ; 132 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rochedo de Minas  ;3156205; 469 ; 222 ; 129 ; 37 ; 11 ; 45 ; -   ; -   ; 247 ; 154 ; 40 ; 6 ; 47 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rodeiro  ;3156304; 1.777 ; 863 ; 62 ; 383 ; 87 ; 330 ; -   ; 1 ; 914 ; 63 ; 419 ; 82 ; 347 ; 2 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Romaria  ;3156403; 629 ; 291 ; 33 ; 165 ; 6 ; 83 ; 4 ; -   ; 338 ; 41 ; 164 ; 13 ; 119 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rosário da Limeira  ;3156452; 925 ; 446 ; 27 ; 221 ; 18 ; 180 ; -   ; -   ; 479 ; 28 ; 237 ; 19 ; 194 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rubelita  ;3156502; 1.172 ; 559 ; 68 ; 47 ; 5 ; 439 ; -   ; -   ; 613 ; 84 ; 41 ; 4 ; 479 ; 2 ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Rubim  ;3156601; 1.761 ; 884 ; 34 ; 131 ; 22 ; 697 ; -   ; -   ; 877 ; 33 ; 116 ; 15 ; 712 ; 1 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Sabará  ;3156700; 23.460 ; 11.508 ; 2.726 ; 2.002 ; 1.031 ; 5.686 ; 53 ; 10 ; 11.952 ; 2.953 ; 2.058 ; 1.061 ; 5.816 ; 45 ; 19 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Sabinópolis  ;3156809; 3.259 ; 1.642 ; 255 ; 191 ; 131 ; 1.062 ; 3 ; -   ; 1.617 ; 284 ; 174 ; 123 ; 1.034 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Sacramento  ;3156908; 6.011 ; 3.094 ; 129 ; 1.780 ; 155 ; 1.027 ; 3 ; -   ; 2.917 ; 168 ; 1.577 ; 162 ; 1.002 ; 8 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Salinas  ;3157005; 8.382 ; 4.226 ; 192 ; 1.083 ; 77 ; 2.856 ; 18 ; -   ; 4.156 ; 233 ; 1.009 ; 60 ; 2.832 ; 19 ; 3 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Salto da Divisa  ;3157104; 1.434 ; 707 ; 47 ; 144 ; 53 ; 455 ; 8 ; -   ; 727 ; 76 ; 130 ; 37 ; 479 ; 4 ; 1 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Santa Bárbara  ;3157203; 6.199 ; 3.042 ; 512 ; 618 ; 263 ; 1.645 ; 4 ; -   ; 3.157 ; 558 ; 596 ; 285 ; 1.711 ; 7 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Santa Bárbara do Leste  ;3157252; 1.538 ; 770 ; 25 ; 244 ; 32 ; 469 ; -   ; -   ; 768 ; 21 ; 241 ; 32 ; 474 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Santa Bárbara do Monte Verde  ;3157278; 671 ; 323 ; 100 ; 129 ; 23 ; 71 ; -   ; -   ; 348 ; 109 ; 140 ; 22 ; 77 ; -   ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Santa Bárbara do Tugúrio  ;3157302; 804 ; 403 ; 12 ; 238 ; 8 ; 145 ; -   ; -   ; 401 ; 10 ; 207 ; 11 ; 171 ; 2 ; -   ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Santa Cruz de Minas  ;3157336; 973 ; 473 ; 208 ; 128 ; 14 ; 123 ; -   ; -   ; 500 ; 197 ; 142 ; 21 ; 136 ; 2 ; 2 ;;;;;;;;;;
 Sudeste  ; Minas Gerais  ; Santa Cruz de Salinas  ;3157377; 812 ; 392 ; 21 ; 57 ; 7 ; 306 ; 1 ; -   ; 420 ; 15 ; 63 ; 3 ; 339 ; -   ; -   ;;;;;;;;;;
